t,ax,ay,az
1321760,25.56,-0.91,-44.54
1326396,18.18,-0.06,-32.37
1331044,7.90,1.53,-14.02
1335604,-7.41,-1.94,12.58
1340212,-21.76,0.97,35.67
1344840,-30.90,-0.36,51.10
1349484,-36.13,-1.42,59.51
1354144,-34.74,1.05,56.51
1358796,-26.87,-1.72,44.88
1363448,-13.57,0.30,21.87
1368084,-1.58,0.33,0.74
1372612,11.96,-1.67,-21.40
1377264,21.57,1.29,-39.00
1381888,24.68,-0.85,-44.29
1386532,21.88,-0.51,-38.53
1391172,15.21,1.19,-27.68
1395816,2.60,-1.57,-5.86
1400356,-12.07,0.77,19.82
1404992,-22.36,0.06,36.65
1409620,-31.47,-1.54,51.91
1414272,-34.40,0.79,56.80
1418896,-31.15,-1.41,51.13
1423552,-21.84,-0.31,35.77
1428208,-11.55,0.56,18.80
1432840,2.53,-1.54,-5.56
1437380,12.36,0.58,-22.81
1442016,20.40,-0.12,-36.35
1446664,22.58,-0.76,-40.84
1451276,19.51,0.87,-35.30
1455900,10.29,-1.24,-19.01
1460540,-2.39,0.02,2.29
1465068,-13.24,0.14,20.55
1469704,-24.73,-1.37,40.34
1474368,-30.55,0.35,49.85
1478992,-32.18,-0.89,52.88
1483648,-27.26,-0.37,44.81
1488300,-19.32,0.40,31.51
1492948,-6.68,-1.31,10.38
1497556,3.65,0.23,-6.98
1502084,14.18,-0.11,-25.47
1506728,20.15,-0.52,-35.99
1511384,20.41,0.83,-36.89
1516028,15.56,-0.86,-28.32
1520672,5.57,-0.10,-11.26
1525256,-4.36,0.17,5.94
1529804,-16.69,-1.41,26.31
1534464,-24.61,-0.06,39.63
1539112,-30.16,-0.63,49.09
1543760,-29.55,-0.70,47.87
1548400,-24.79,0.42,40.33
1553036,-14.67,-1.03,23.66
1557688,-4.91,-0.18,6.82
1562236,6.74,0.01,-12.49
1566804,15.40,-0.66,-27.68
1571436,18.88,0.49,-34.04
1576056,17.77,-0.56,-31.82
1580696,13.07,-0.47,-23.72
1585336,3.26,0.29,-7.49
1589856,-8.61,-1.01,13.46
1594456,-17.55,-0.10,27.72
1599100,-25.76,-0.57,41.25
1603768,-28.95,-1.11,46.95
1608432,-27.45,0.16,44.21
1613076,-20.69,-0.94,32.93
1617732,-12.67,-0.28,19.57
1622376,-1.00,-0.03,-0.03
1626912,7.35,-0.80,-14.23
1631492,14.92,0.29,-26.78
1636124,17.62,-0.49,-31.87
1640764,15.87,-0.52,-28.73
1645412,9.09,0.20,-16.82
1649976,1.18,-0.69,-3.19
1654512,-9.99,-0.11,15.45
1659112,-19.96,-0.28,32.14
1663768,-25.38,-0.92,40.91
1668412,-27.65,0.07,44.52
1673048,-25.49,-0.61,41.35
1677696,-18.49,-0.59,29.35
1682356,-8.41,-0.11,12.22
1686964,0.20,-0.81,-2.27
